date,EW,MV,ERI,GARCH-EVT-CVaR,GARCH-EVT-CVaR-MV
2017-07-03,1.4173517466736878,1.336769351618679,1.3422770503799648,1.4173517466736878,1.336769351618679
2017-07-05,1.42254993528483,1.3340183697445962,1.3471998998368182,1.42254993528483,1.3340183697445962
2017-07-06,1.4110398423112054,1.3253073340489112,1.3362994767890501,1.4110398423112054,1.3253073340489112
2017-07-07,1.4253182275978373,1.3289921121320583,1.349821560443801,1.4253182275978373,1.3289921121320583
2017-07-10,1.4305127937289568,1.322524953740527,1.3547409792971987,1.4305127937289568,1.322524953740527
2017-07-11,1.434714164083889,1.3199206432878663,1.358719810254868,1.434714164083889,1.3199206432878663
2017-07-12,1.4493017322723707,1.3299451703561427,1.3725346999223091,1.4493017322723707,1.3299451703561427
2017-07-13,1.4476793389661846,1.3279315325037808,1.3709982420129057,1.4476793389661846,1.3279315325037808
2017-07-14,1.459540297959426,1.3351975089902628,1.3822309463077211,1.459540297959426,1.3351975089902628
2017-07-17,1.4575290488889736,1.3359111743643282,1.380326229658377,1.4575290488889736,1.3359111743643282
2017-07-18,1.4650896630667132,1.3359541388591964,1.3874863710427399,1.4650896630667132,1.3359541388591964
2017-07-19,1.4797419193656887,1.34187536882908,1.4013625224021724,1.4797419193656887,1.34187536882908
2017-07-20,1.4796912082796145,1.3427293977300485,1.4013144973955383,1.4796912082796145,1.3427293977300485
2017-07-21,1.4800832889348157,1.350223931553179,1.40168581020946,1.4800832889348157,1.350223931553179
2017-07-24,1.4833015098114604,1.349350029598875,1.404733567434095,1.4833015098114604,1.349350029598875
2017-07-25,1.4850249217141804,1.3524285085277117,1.4063656931578625,1.4850249217141804,1.3524285085277117
2017-07-26,1.495478480984863,1.3568312931693502,1.4162655452847277,1.495478480984863,1.3568312931693502
2017-07-27,1.4827408015861918,1.356507796025521,1.4042025589638942,1.4827408015861918,1.356507796025521
2017-07-28,1.4800095090593781,1.3532282652860246,1.4016159383277536,1.4800095090593781,1.3532282652860246
2017-07-31,1.4727445239190349,1.3591058287362576,1.3947357670166307,1.4727445239190349,1.3591058287362576
2017-08-01,1.4722287428441687,1.3588518559043998,1.3942473059825664,1.4722287428441687,1.3588518559043998
2017-08-02,1.4711240091205253,1.3564296301893892,1.3932010881135672,1.4711240091205253,1.3564296301893892
2017-08-03,1.4699171276382939,1.3530352497472509,1.3920581330779316,1.4699171276382939,1.3530352497472509
2017-08-04,1.4717668636231305,1.3529039182767346,1.3938098917133832,1.4717668636231305,1.3529039182767346
2017-08-07,1.4817537601344164,1.3567987900803982,1.403267799408547,1.4817537601344164,1.3567987900803982
2017-08-08,1.4769030712515536,1.3550459941295434,1.3986740432140947,1.4769030712515536,1.3550459941295434
2017-08-09,1.4742754788077348,1.3551538940920838,1.3961856298450301,1.4742754788077348,1.3551538940920838
2017-08-10,1.4447571697236934,1.3475721032221744,1.368230855074041,1.4447571697236934,1.3475721032221744
2017-08-11,1.4544187159608237,1.3477762786397343,1.3773806457422502,1.4544187159608237,1.3477762786397343
2017-08-14,1.472546648250086,1.3624148754172025,1.394548372483212,1.472546648250086,1.3624148754172025
2017-08-15,1.4722198255976067,1.3689458459211106,1.3942388610672936,1.4722198255976067,1.3689458459211106
2017-08-16,1.4792608507631113,1.3768011941771348,1.4009069351801486,1.4792608507631113,1.3768011941771348
2017-08-17,1.4501020799835134,1.3618056439608712,1.3732926545849484,1.4501020799835134,1.3618056439608712
2017-08-18,1.4514826852658052,1.3600981765244824,1.374600131568275,1.4514826852658052,1.3600981765244824
2017-08-21,1.4513589269456988,1.3650979152030247,1.3744829285145783,1.4513589269456988,1.3650979152030247
2017-08-22,1.4723263694486892,1.373065051702808,1.3943397614729287,1.4723263694486892,1.373065051702808
2017-08-23,1.4676236574456938,1.3691581171206777,1.3898861440762724,1.4676236574456938,1.3691581171206777
2017-08-24,1.4659792746955491,1.3560569014984518,1.3883288614661229,1.4659792746955491,1.3560569014984518
2017-08-25,1.4664084800166082,1.3570995414998726,1.388735332515889,1.4664084800166082,1.3570995414998726
2017-08-28,1.4695564273586028,1.3582297878287488,1.391716538474735,1.4695564273586028,1.3582297878287488
2017-08-29,1.472005418069969,1.3604061202692115,1.394035810339447,1.472005418069969,1.3604061202692115
2017-08-30,1.4900298868960562,1.3658780821194398,1.4111055538998052,1.4900298868960562,1.3658780821194398
2017-08-31,1.5036644617218802,1.3755601033229718,1.4240179286320074,1.5036644617218802,1.3755601033229718
2017-09-01,1.508184467053876,1.3776987530057159,1.4282985170173335,1.508184467053876,1.3776987530057159
2017-09-05,1.498116975468427,1.3777623695488845,1.4187642832311504,1.498116975468427,1.3777623695488845
2017-09-06,1.5013920477914167,1.379515024489084,1.4218658805783162,1.5013920477914167,1.379515024489084
2017-09-07,1.5048864883284292,1.3837098774212435,1.4251752265806459,1.5048864883284292,1.3837098774212435
2017-09-08,1.4983845330407668,1.3779310613961087,1.4190176687367952,1.4983845330407668,1.3779310613961087
2017-09-11,1.5139952506520178,1.385375944891052,1.4338015133531512,1.5139952506520178,1.385375944891052
2017-09-12,1.5169474500578843,1.3834339027446745,1.4365973398090328,1.5169474500578843,1.3834339027446745
2017-09-13,1.5171582325228279,1.3815870408598012,1.436796957487552,1.5171582325228279,1.3815870408598012
2017-09-14,1.514039071946127,1.379116659221454,1.4338430135083096,1.514039071946127,1.379116659221454
2017-09-15,1.5184049731269778,1.3816529583444752,1.4379776603756351,1.5184049731269778,1.3816529583444752
2017-09-18,1.5244107516493177,1.381442475502255,1.4436653230882404,1.5244107516493177,1.381442475502255
2017-09-19,1.5255755144172511,1.3807784094937172,1.4447683903657902,1.5255755144172511,1.3807784094937172
2017-09-20,1.52315240219522,1.38072086258741,1.442473626251123,1.52315240219522,1.38072086258741
2017-09-21,1.515552663162484,1.3719744817246948,1.4352764323883727,1.515552663162484,1.3719744817246948
2017-09-22,1.5194862178927364,1.3690619184076902,1.4390016334566484,1.5194862178927364,1.3690619184076902
2017-09-25,1.5064279273643866,1.370340436408868,1.4266350182289653,1.5064279273643866,1.370340436408868
2017-09-26,1.505738723970165,1.372193751749561,1.425982320758998,1.505738723970165,1.372193751749561
2017-09-27,1.5185705267621257,1.3727374767224239,1.4381344449180657,1.5185705267621257,1.3727374767224239
2017-09-28,1.51176856239515,1.3743764296795102,1.4316927689623824,1.51176856239515,1.3743764296795102
2017-09-29,1.5228983232547104,1.3780122247432458,1.4381820444411506,1.5228983232547104,1.3780122247432458
2017-10-02,1.5273394726361882,1.3759042822997727,1.4405290268805135,1.5273394726361882,1.3759042822997727
2017-10-03,1.5298928019671194,1.377421254431335,1.4420646641634889,1.5298928019671194,1.377421254431335
2017-10-04,1.5356211629831318,1.3842657809655443,1.4479894751746303,1.5356211629831318,1.3842657809655443
2017-10-05,1.545415165895799,1.3906443421937356,1.454007676507661,1.545415165895799,1.3906443421937356
2017-10-06,1.5494911428124112,1.3808447423954002,1.4527542516262482,1.5494911428124112,1.3808447423954002
2017-10-09,1.5471192476915936,1.3768728913535475,1.4481628071974428,1.5471192476915936,1.3768728913535475
2017-10-10,1.5501857931287648,1.3848081740333191,1.4527357580119935,1.5501857931287648,1.3848081740333191
2017-10-11,1.5543131352159667,1.3906243288103455,1.456294078677632,1.5543131352159667,1.3906243288103455
2017-10-12,1.5520276994628464,1.3968909935369516,1.4580789386250772,1.5520276994628464,1.3968909935369516
2017-10-13,1.55545242829393,1.3997715078088457,1.4600488503339908,1.55545242829393,1.3997715078088457
2017-10-16,1.554177463830386,1.3998901601861167,1.4597455457156379,1.554177463830386,1.3998901601861167
2017-10-17,1.5558717932042094,1.3972667044918774,1.4600608775259163,1.5558717932042094,1.3972667044918774
2017-10-18,1.5574601438287836,1.3955849490407581,1.4603756399393661,1.5574601438287836,1.3955849490407581
2017-10-19,1.5598963295337334,1.4018544579618,1.4655297337987416,1.5598963295337334,1.4018544579618
2017-10-20,1.567237477171387,1.4056609745621729,1.473274082064019,1.567237477171387,1.4056609745621729
2017-10-23,1.5611479577618217,1.407802473781541,1.4726982488103968,1.5611479577618215,1.407802473781541
2017-10-24,1.559289744046857,1.4056330814806652,1.4697702147441547,1.5592897440468567,1.4056330814806652
2017-10-25,1.5469525769186563,1.3976328295089522,1.4633884829639037,1.546952576918656,1.3976328295089522
2017-10-26,1.5534338745035348,1.4026626453189657,1.4697902542165735,1.5534338745035345,1.4026626453189657
2017-10-27,1.5720708508057883,1.4079536927899317,1.481690772101989,1.5720708508057881,1.4079536927899317
